,一色イズ　歌った曲リスト,更新日:,2026/05/24,1768,,,453,71,25.1
,曲名,読み仮名,アーティスト名,歌った回数,最終歌唱日,経過日数,歌える楽曲数,歌枠回数,1枠平均曲数
1,愛唄,あいうた,GRe4N BOYZ(GReeeeN),6,2026/05/11,13日,,,
2,愛言葉III,あいことば スリー,DECO*27 feat. 初音ミク,6,2026/05/23,1日,,,
3,会いたくて 会いたくて,あいたくて あいたくて,西野カナ,4,2026/04/11,43日,,,
4,あいつら全員同窓会,あいつらぜんいんどうそうかい,ずっと真夜中でいいのに。,3,2026/02/09,104日,,,
5,アイドル,アイドル,YOASOBI,12,2026/05/04,20日,,,
6,アイネクライネ,アイネクライネ,米津玄師,11,2026/05/04,20日,,,
7,愛のかたまり,あいのかたまり,DOMOTO(KinKi Kids),3,2026/04/04,50日,,,
8,アイのシナリオ,アイのシナリオ,CHiCO with HoneyWorks,1,2026/02/02,111日,,,
9,愛包ダンスホール,あいぱいダンスホール,HIMEHINA,6,2026/04/18,36日,,,
10,曖昧劣情Lover,あいまいれつじょうラバー,koyori(電ポルP) feat.v flower,2,2026/04/18,36日,,,
11,IRIS OUT,アイリス アウト,米津玄師,12,2026/05/04,20日,,,
12,アイワナムチュー,アイワナムチュー,"feat. asmi, すりぃ/MAISONdes",4,2026/04/18,36日,,,
13,愛をこめて花束を,あいをこめてはなたばを,Superfly,1,2025/11/15,190日,,,
14,青いベンチ,あおいベンチ,サスケ,1,2025/12/11,164日,,,
15,青空のラプソディ,あおぞらのラプソディ,fhána,2,2026/04/20,34日,,,
16,青のすみか,あおのすみか,キタニタツヤ,3,2026/03/14,71日,,,
17,アゲハ蝶,アゲハちょう,ポルノグラフィティ,4,2026/04/23,31日,,,
18,阿修羅ちゃん,あしゅらちゃん,Ado,9,2026/05/23,1日,,,
19,アスノヨゾラ哨戒班,アスノヨゾラしょうかいはん,Orangestar feat.IA,3,2026/05/07,17日,,,
20,明日への扉,あすへのとびら,I WiSH,1,2026/03/19,66日,,,
21,アタシは問題作,アタシはもんだいさく,Ado,3,2026/05/11,13日,,,
22,あなたに,あなたに,MONGOL800,1,2026/04/23,31日,,,
23,アニマル,アニマル,"DECO*27,Rockwell feat.初音ミク",1,2026/01/17,127日,,,
24,アノニマス,アノニマス,さユり,4,2026/05/14,10日,,,
25,あのバンド,あのバンド,結束バンド,6,2026/04/20,34日,,,
26,アポロ,アポロ,ポルノグラフィティ,1,2026/05/14,10日,,,
27,天ノ弱,あまのじゃく,164 feat.GUMI,11,2026/05/07,17日,,,
28,雨とカプチーノ,あめとカプチーノ,ヨルシカ,7,2026/05/07,17日,,,
29,アルエ,アルエ,BUMP OF CHICKEN,3,2026/05/11,13日,,,
30,あわてんぼうのサンタクロース,あわてんぼうのサンタクロース,童謡,1,2025/12/25,150日,,,
31,アンコール,アンコール,YOASOBI,5,2026/05/23,1日,,,
32,UNDEAD,アンデッド,YOASOBI,6,2026/04/25,29日,,,
33,アンドロイドガール,アンドロイドガール,DECO*27 feat. 初音ミク,1,2026/05/16,8日,,,
34,アンバランスなkissをして,アンバランスなキスをして,高橋ひろ,2,2026/04/23,31日,,,
35,unravel,アンラベル,TK from 凛として時雨,6,2026/04/23,31日,,,
36,いーあるふぁんくらぶ,いーあるふぁんくらぶ,"みきとP feat.GUMI,鏡音リン",3,2026/03/30,55日,,,
37,Ex-Otogibanashi,イーエックス オトギバナシ,ryo (supercell) feat.かぐや(CV.夏吉ゆうこ) 月見ヤチヨ(CV.早見沙織),2,2026/02/23,90日,,,
38,イガク,イガク,原口沙輔 feat. 重音テト,3,2026/05/16,8日,,,
39,行くぜっ!怪盗少女,いくぜっ かいとうしょうじょ,ももいろクローバーZ,2,2026/04/25,29日,,,
40,ignited -イグナイテッド-,イグナイテッド,T.M.Revolution,1,2026/05/09,15日,,,
41,イケナイ太陽,イケナイたいよう,ORANGE RANGE,4,2026/05/04,20日,,,
42,言って。,いって,ヨルシカ,8,2026/05/11,13日,,,
43,命ばっかり,いのちばっかり,"ぬゆり feat. v flower, 結月ゆかり",2,2026/05/16,8日,,,
44,いますぐ輪廻,いますぐりんね,なきそ feat. 初音ミク,8,2026/05/16,8日,,,
45,INVOKE-インヴォーク-,インヴォーク,T.M.Revolution,4,2026/05/23,1日,,,
46,ヴァンパイア,ヴァンパイア,"DECO*27,Rockwell feat. 初音ミク",9,2026/05/14,10日,,,
47,ウィーアー！,ウィーアー,きただにひろし,4,2026/05/23,1日,,,
48,うい麦畑でつかまえて,ういむぎばたけでつかまえて,しぐれうい,3,2026/05/11,13日,,,
49,"Winter,again",ウィンター アゲイン,GLAY,1,2026/02/09,104日,,,
50,WAVE,ウェーブ,niki feat.Lily,1,2026/03/30,55日,,,
51,ウタカタララバイ,ウタカタララバイ,Ado,9,2026/05/23,1日,,,
52,打上花火,うちあげはなび,DAOKO × 米津玄師,3,2026/04/20,34日,,,
53,うっせぇわ,うっせぇわ,Ado,8,2026/04/06,48日,,,
54,ウミユリ海底譚,ウミユリかいていたん,n-buna feat.初音ミク,9,2026/05/23,1日,,,
55,うれしいひなまつり,うれしいひなまつり,童謡,1,2026/03/02,83日,,,
56,え？あぁ、そう。,え？あぁ、そう。,蝶々P feat. 初音ミク,1,2026/03/09,76日,,,
57,永遠のあくる日,えいえんのあくるひ,Ado,4,2026/05/23,1日,,,
58,エイリアンエイリアン,エイリアンエイリアン,ナユタン星人 feat. 初音ミク,5,2026/05/11,13日,,,
59,YELL,エール,いきものがかり,1,2026/03/19,66日,,,
60,エゴロック,エゴロック,すりぃ feat. 鏡音レン,5,2026/04/25,29日,,,
61,Everyday、カチューシャ,エブリデイ カチューシャ,AKB48,1,2026/03/21,64日,,,
62,OK!,オーケー,松本 梨香,3,2026/05/09,15日,,,
63,大阪LOVER,おおさかラバー,DREAMS COME TRUE,2,2026/03/21,64日,,,
64,oath sign,オース サイン,LiSA,2,2025/12/06,169日,,,
65,Over soul,オーバー ソウル,林原めぐみ,2,2026/05/09,15日,,,
66,Overdose,オーバードーズ,なとり,3,2026/04/20,34日,,,
67,オーバーライド,オーバーライド,吉田夜世 feat. 重音テト,10,2026/05/16,8日,,,
68,おしゃかしゃま,おしゃかしゃま,RADWIMPS,2,2026/04/25,29日,,,
69,おジャ魔女カーニバル!!,おジャまじょカーニバル,MAHO堂,5,2026/05/09,15日,,,
70,おじゃま虫,おじゃまむし,DECO*27 feat. 初音ミク,2,2026/04/18,36日,,,
71,おちゃめ機能,おちゃめきのう,ゴジマジP feat. 重音テト,1,2026/03/21,64日,,,
72,オツキミリサイタル,オツキミリサイタル,じん feat.IA,2,2026/04/20,34日,,,
73,踊,おど,Ado,5,2026/03/28,57日,,,
74,オトナブルー,オトナブルー,新しい学校のリーダーズ,5,2026/05/23,1日,,,
75,オトノケ,オトノケ,Creepy Nuts,1,2026/03/14,71日,,,
76,乙女解剖,おとめかいぼう,DECO*27 feat.初音ミク,9,2026/05/16,8日,,,
77,乙女のポリシー,おとめのポリシー,石田よう子,1,2026/05/09,15日,,,
78,おどるポンポコリン,おどるポンポコリン,B.B.クイーンズ,2,2026/03/14,71日,,,
79,鬼ノ宴,おにのうたげ,友成空,3,2026/03/02,83日,,,
80,おねがいダーリン,おねがいダーリン,ナナホシ管弦楽団 feat.ONE,3,2026/01/17,127日,,,
81,お勉強しといてよ,おべんきょうしといてよ,ずっと真夜中でいいのに。,2,2026/01/17,127日,,,
82,お返事まだカナ💦❓おじさん構文😁❗️,おへんじまだカナ おじさんこうぶん,吉本おじさん feat. 雨衣,9,2026/04/30,24日,,,
83,おやすみ泣き声、さよなら歌姫,おやすみなきごえ さよならうたひめ,クリープハイプ,5,2026/05/11,13日,,,
84,only my railgun,オンリー マイ レールガン,FripSide,7,2026/05/23,1日,,,
85,会心の一撃 YOASOBI Cover,かいしんのいちげき,YOASOBI(RADWIMPS Cover),1,2026/02/23,90日,,,
86,会心の一撃,かいしんのいちげき,RADWIMPS,3,2026/05/19,5日,,,
87,怪物,かいぶつ,YOASOBI,5,2026/04/20,34日,,,
88,楓,かえで,スピッツ,1,2026/04/23,31日,,,
89,輝きは君の中に,かがやきはきみのなかに,鈴木結女,2,2026/05/09,15日,,,
90,かくしん的☆めたまるふぉ～ぜっ！,かくしんてきめたまるふぉ～ぜっ,土間うまる(CV.田中あいみ),2,2026/03/14,71日,,,
91,革命デュアリズム,かくめいデュアリズム,水樹奈々×T.M.Revolution,2,2026/04/25,29日,,,
92,革命道中,かくめいどうちゅう オン ザ ウェイ,アイナ・ジ・エンド,9,2026/05/11,13日,,,
93,かくれんぼ,かくれんぼ,AliA,5,2026/04/11,43日,,,
94,重音テトはこんなパーティ二人で抜け出せるのか,かさねテトはこんなパーティふたりでぬけだせるのか,"かてらざわ feat. 重音テト,初音ミク",1,2025/11/17,188日,,,
95,カタオモイ,カタオモイ,Aimer,1,2025/12/08,167日,,,
96,奏,かなで,スキマスイッチ,6,2026/05/07,17日,,,
97,歌舞伎町の女王,かぶきちょうのじょおう,椎名林檎,2,2026/04/12,42日,,,
98,カブトムシ,カブトムシ,aiko,1,2025/12/01,174日,,,
99,神っぽいな,かみっぽいな,ピノキオピー feat.初音ミク,8,2026/04/30,24日,,,
100,神のまにまに,かみのまにまに,れるりり feat. 初音ミク,1,2025/12/08,167日,,,
101,カリスマックス,カリスマックス,Snow Man,1,2026/04/06,48日,,,
102,カルマ,カルマ,BUMP OF CHICKEN,7,2026/05/23,1日,,,
103,かわいいだけじゃだめですか？,かわいいだけじゃだめですか,CUTIE STREET,5,2026/04/06,48日,,,
104,可愛くてごめん,かわいくてごめん, feat. ちゅーたん(CV.早見沙織)/HoneyWorks,8,2026/04/04,50日,,,
105,勘冴えて悔しいわ,かんさえてくやしいわ,ずっと真夜中でいいのに。,4,2026/03/28,57日,,,
106,キセキ,キセキ,GRe4N BOYZ(GReeeeN),3,2026/04/23,31日,,,
107,ギターと孤独と蒼い惑星,ギターとこどくとあおいほし,結束バンド,5,2026/04/20,34日,,,
108,KICK BACK,キック バック,米津玄師,8,2026/05/11,13日,,,
109,気まぐれロマンティック,きまぐれロマンティック,いきものがかり,4,2026/05/04,20日,,,
110,キミと××××したいだけ,キミとバツバツバツバツしたいだけ,ファントムシータ,2,2026/04/06,48日,,,
111,君はロックを聴かない,きみはロックをきかない,あいみょん,5,2026/05/23,1日,,,
112,君をのせて,きみをのせて,君をのせて,1,2026/05/07,17日,,,
113,逆光,ぎゃっこう,Ado,2,2026/01/12,132日,,,
114,Catch You Catch Me,キャッチ ユー キャッチ ミー,グミ(日向めぐみ),1,2026/05/09,15日,,,
115,キャットラビング,キャットラビング,香椎モイミ feat. 可不,4,2026/03/28,57日,,,
116,きゅうくらりん,きゅうくらりん,いよわ feat. 可不,1,2026/05/16,8日,,,
117,キューティーハニー,キューティーハニー,倖田來未,2,2026/05/23,1日,,,
118,キュートなカノジョ,キュートなカノジョ,syudou feat.可不,1,2026/05/23,1日,,,
119,狭心症,きょうしんしょう,RADWIMPS,1,2025/12/15,160日,,,
120,強風オールバック,きょうふうオールバック,Yukopi feat. 歌愛ユキ,6,2026/04/30,24日,,,
121,キラキラ,キラキラ,aiko,1,2025/11/15,190日,,,
122,ギラギラ,ギラギラ,Ado,7,2026/04/25,29日,,,
123,金魚花火,きんぎょはなび,大塚愛,1,2025/12/11,164日,,,
124,KING,キング,Kanaria feat. GUMI,4,2026/05/11,13日,,,
125,金曜日のおはよう,きんようびのおはよう,HoneyWorks feat. GUMI,7,2026/05/14,10日,,,
126,グッバイ宣言,グッバイせんげん,Chinozo feat. v flower,5,2026/05/14,10日,,,
127,クラクラ,クラクラ,Ado,7,2026/05/23,1日,,,
128,GLAMOROUS SKY,グラマラス スカイ,中島美嘉,2,2026/05/19,5日,,,
129,クリスマスソング,クリスマスソング,back number,1,2025/12/25,150日,,,
130,紅蓮華,ぐれんげ,LiSA,4,2026/03/14,71日,,,
131,紅蓮の弓矢,ぐれんのゆみや,Linked Horizon,2,2026/05/23,1日,,,
132,群青,ぐんじょう,YOASOBI,11,2026/05/07,17日,,,
133,群青日和,ぐんじょうびより,東京事変,1,2025/11/15,190日,,,
134,ケッペキショウ,ケッペキショウ,すこっぷ feat. GUMI,1,2026/03/30,55日,,,
135,限界突破×サバイバー,げんかいとっぱ サバイバー,氷川きよし,2,2026/05/23,1日,,,
136,恋,こい,星野源,1,2026/02/14,99日,,,
137,恋するフォーチュンクッキー,こいするフォーチュンクッキー,AKB48,2,2026/04/18,36日,,,
138,恋はスリル、ショック、サスペンス,こいはスリル ショック サスペンス,愛内里菜,1,2025/12/06,169日,,,
139,航海の唄,こうかいのうた,さユり,8,2026/05/11,13日,,,
140,ゴーストルール,ゴーストルール,DECO*27 feat. 初音ミク,4,2026/05/19,5日,,,
141,GOLDFINGER '99,ゴールドフィンガー ナインティナイン,郷ひろみ,1,2026/01/04,140日,,,
142,心做し,こころなし,蝶々P feat. GUMI,6,2026/05/16,8日,,,
143,こちら、幸福安心委員会です。,こちら こうふくあんしんいいんかいです,うたたP feat. 初音ミク,2,2026/04/20,34日,,,
144,さぁ,さぁ,SURFACE,1,2026/05/09,15日,,,
145,サイノウサンプラー,サイノウサンプラー,koyori(電ポルP) feat. Sou,1,2025/12/15,160日,,,
146,サイレントマジョリティー,サイレントマジョリティー,欅坂46,1,2026/04/06,48日,,,
147,Sign,サイン,Mr.Children,1,2026/04/23,31日,,,
148,サインはB,サインはビー,B小町,10,2026/05/19,5日,,,
149,サウダージ,サウダージ,ポルノグラフィティ,3,2026/04/23,31日,,,
150,さくら (独唱),さくら どくしょう,森山直太朗,1,2026/03/19,66日,,,
151,さくらんぼ,さくらんぼ,大塚愛,2,2025/12/15,160日,,,
152,雑魚,ざこ,柊マグネタイト feat. 亞北ネル(初音ミク),5,2026/05/16,8日,,,
153,サターン,サターン,ずっと真夜中でいいのに。,1,2025/12/15,160日,,,
154,ザムザ,ザムザ,25時、ナイトコードで。,2,2026/05/16,8日,,,
155,さよならエレジー,さよならエレジー,菅田将暉,2,2026/03/28,57日,,,
156,サリシノハラ,サリシノハラ,みきとP feat.初音ミク,5,2026/05/16,8日,,,
157,3月9日,さんがつここのか,レミオロメン,3,2026/04/04,50日,,,
158,残機,ざんき,ずっと真夜中でいいのに。,6,2026/03/14,71日,,,
159,残響散歌,ざんきょうさんか,Aimer,5,2026/05/14,10日,,,
160,三原色,さんげんしょく,YOASOBI,6,2026/05/14,10日,,,
161,残酷な天使のテーゼ,ざんこくなてんしのテーゼ,高橋洋子,7,2026/05/09,15日,,,
162,366日,さんびゃくろくじゅうろくにち,HY,1,2025/12/01,174日,,,
