配信回数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
配信日,2025/10/20,2025/10/23,2025/10/25,2025/11/01,2025/11/03,2025/11/08,2025/11/11,2025/11/15,2025/11/17,2025/11/22,2025/11/24,2025/11/29,2025/12/01,2025/12/06,2025/12/08,2025/12/11,2025/12/14,2025/12/15,2025/12/19,2025/12/19,2025/12/20,2025/12/25,2025/12/26,2025/12/27,2025/12/29,2025/12/30,2026/01/02,2026/01/03,2026/01/04,2026/01/10,2026/01/12,2026/01/16,2026/01/17,2026/01/19,2026/01/24,2026/01/26,2026/02/02,2026/02/05,2026/02/07,2026/02/09,2026/02/14,2026/02/21,2026/02/23,2026/02/28,2026/03/02,2026/03/07,2026/03/09,2026/03/14,2026/03/19,2026/03/21,2026/03/26,2026/03/28,2026/03/30,2026/04/04,2026/04/06,2026/04/11,2026/04/12,2026/04/18,2026/04/20,2026/04/23,2026/04/25,2026/04/30,2026/05/04,2026/05/07,2026/05/09,2026/05/11,2026/05/14,2026/05/16,2026/05/19,2026/05/19,2026/05/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配信タイトル,【初💫歌枠】ボカロ曲限定で歌うよ！🎙️,【#歌枠 / #karaoke 💫】神アニソンJPOP祭り🎙️,【#歌枠 / #karaoke 💫】初🌟縦型”歌枠”🎙️同接100人めざします‼,【#歌枠 / #karaoke 💫】平成アニソン縛り歌枠🎙️,【#歌枠 / #karaoke 💫】ボカロ曲メイン歌枠🎙️,【#歌枠 / #karaoke 💫】縦型”歌枠”🎙️高評価200👍耐久‼,【#歌枠 / #karaoke 💫】夜系アーティスト🌃限定！歌枠🎙️,【#歌枠 / #karaoke 💫】平成名曲”歌枠”🎙️高評価250👍目標‼,【㊗1ヶ月記念 #歌枠 / #karaoke 💫】デビュー前のshorts振り返り雑談しながら歌う！🎙️,"【#歌枠 / #karaoke 💫】同接100名様耐久""歌枠""‼ボカロ・アニソンたくさん歌うよ🌟",【#歌枠 / #karaoke 💫】”バンド縛り🎸歌枠”高評価200👍目標！一緒に盛り上がろう！,【#歌枠 / #karaoke 💫】縦型“歌枠”🎙たくさん歌うよ！高評価250👍目標！,【#歌枠 /#karaoke 】睡眠導入にどうぞ🌃しっとり歌枠🎙️,【#歌枠 / #karaoke 💫】縦型“歌枠”🎙アニソンたくさん歌うよ！,【#歌枠 /#karaoke 】最後に告知あり‼️ガチ恋距離🩵歌枠🎙ゆったりまったりしていってね🌟,【#歌枠 / #karaoke 💫】縦型“歌枠”🎙一曲いかがですか？寝る前にどうぞ🌃,【#歌枠 】初‼ルミステ🌟歌枠リレー🎙アニソン歌うよ！,【#歌枠 /#karaoke 】距離近め💭歌枠🎙一曲いかがですか？💫まったり歌枠,【 #イズなる 】イズちゃんとはじめてのコラボ🎤💖,【 #イズなる 】天湊なるちゃんとはじめてのコラボ🎤💫,【#歌枠 /#karaoke 】”ボカロ縛り”歌枠🎙💫鬼ハード👹セトリに挑戦‼,【#歌枠 #マシュマロ雑談 】クリスマス🎄コラボ配信🌟歌＆雑談！,【#歌枠 / #karaoke 💫】縦型“歌枠”🎙アニソン多め🌟一曲いかがですか,【㊗ #収益化記念 /#雑談 #歌枠 💫】収益化ありがとう配信🌟今後の楽しみ語るよ！,【#歌枠 /#karaoke 】年末だ‼元気が出る歌枠🎙💫一曲いかがですか？,【#歌枠 / #karaoke 💫】縦型“歌枠”🎙今年ラスト！色んな声で歌う！歌枠🌟一曲いかがですか,【2026🎍新春🌸初配信】おみくじ結果発表＆抱負語り＆歌枠🎙💫,【新春🌸#歌枠 / #karaoke 💫】ボカロ・アニソンたくさん歌います！一曲いかがですか,【イズリイコラボ】ルミステお正月コラボ!!歌枠に雑談に...馬も!?,【#歌枠 】#初見さん大歓迎 💫一曲いかがですか？ボカロ中心歌枠！🎙,【#歌枠 】初見さん大歓迎 💫一曲いかがですか？王道JPOP＆声マネ歌枠🎙,【#歌枠 / #karaoke 】睡眠導入に一曲いかがですか💫🎙,一曲いかがですか💫アニソン＆ボカロたくさん歌います🎙,2時間以内に高評価250👍達成で歌ってみたフル公開‼🎙,【#歌枠 /#karaoke 】一曲いかがですか💫🎙初見さん大歓迎！ボカロアニソン多め,【#歌枠 /#karaoke 】一曲いかがですか？💫冬の路上ライブ🎙初見さん大歓迎！,【#歌枠 /#初見さん大歓迎 】ガチ恋距離💭歌枠🎙一曲いかがですか？💫,【㊗メンシプ解禁！/ #雑談 #歌枠 💫】メンシプ内容公開＆歌います🎙,【#歌枠 /#karaoke 】一曲いかがですか？💫初見さん大歓迎！,【#歌枠 /#karaoke 】ウインターソング歌枠⛄一曲いかがですか？💫,【#歌枠 /#バレンタイン 🍫】とろける💗甘々ソングメドレー！一曲いかがですか？💝,【#歌枠 /#karaoke 】超かぐや姫!＆ボカロ老人会メドレー歌枠！💫,【#歌枠 /#karaoke 】話題のJPOP歌枠！一曲いかがですか💫,【#歌枠 /#karaoke 】アニソンたくさん歌うよ～！🎙一曲いかがですか🌟,【#歌枠 /#karaoke 】一曲いかがですか💫,【#歌枠 /#karaoke 】爽やかボカロ＆JPOP歌います💫,【#歌枠 /#karaoke 】3 月9日♬ミクの日💚初音ミクボカロ縛り歌枠🎙,【#歌枠 /#karaoke 】一曲いかがですか💫アニソン歌枠！,【#歌枠 /#karaoke 】一曲いかがですか🌸卒業ソングメドレー歌枠🎙,【#歌枠 /#karaoke 】一曲いかがですか🎤💫初見さん大歓迎,【#歌枠 /#karaoke 】ボカロ縛り歌枠!!🎙一曲いかがですか💫,【#歌枠 /#karaoke 】JPOP&アニソン&ボカロたくさん歌うよ💫一曲いかがですか,【#歌枠 /#karaoke 】ボカロ老人会はこちらです🎤💫一曲聞いてこ？,【#歌枠 /#karaoke 】㊗メンシプスタンプ追加！たくさん歌うよ🌟,【#歌枠 /#karaoke 】王道アイドル曲💖歌枠🎙️一曲いかがですか,【#歌枠 /#karaoke 】JPOP&アニソン&ボカロたくさん歌うよ💫一曲いかがですか,【#歌枠 /#karaoke 】見つけてください！💫一曲いかがですか,【#歌枠 /#karaoke 】見つけて！💫初見さん大歓迎,【#歌枠 /#karaoke 】初見さん大歓迎🌟一曲いかがですか,【#歌枠 /#karaoke 】初見さん大歓迎🌟懐メロたくさん歌うよ！,【#歌枠 /#karaoke 】見つけて！🌟初見さん大歓迎！たくさん歌うよ🎤,【#歌枠 /#karaoke 】目指せ1.5万人！耐久!?リアイベ直前歌枠🌟初見さん大歓迎,【#歌枠 /#karaoke 】一曲いかがですか🌟初見さん大歓迎🎤,【#歌枠 /#karaoke 】眠る前にどうぞ🌟睡眠導入歌枠🎤初見さん大歓迎,【#歌枠 /#karaoke 】平成アニソン縛り！🌟久々お昼歌枠！初見さん大歓迎🎤,【#歌枠 /#karaoke 】癒しと元気を君に🌟一曲いかがですか🎤,【#歌枠 /#karaoke 】見つけて！💫たくさん歌うよ🎤初見さん大歓迎,【#歌枠 /#karaoke 】ボカロ縛り🌟たくさん歌うよ🎙初見さん大歓迎！,【 #歌枠コラボ 】一色イズちゃんと歌枠🎶💞 #イズなる ,【 #イズなる 】天湊なるちゃんと歌コラボ🎤💫,【#歌枠 /#karaoke 】元気と癒しをお届け🌟初見さん大歓迎🎤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配信URL,https://www.youtube.com/live/9x3-Y2EFSPg?si=9EP-hgpb7aGD1Xnt,https://www.youtube.com/live/MwhviT1i7Uw?si=GZVFy-hlP4sLjDyT,https://www.youtube.com/live/fGGBwHGlqcU?si=Y4ICCZ6ZBtSkkEyo,https://www.youtube.com/live/gD78oqEKBKk?si=C-w9OzHDCn9htQZT,https://www.youtube.com/live/GYFX5w2i0YM?si=6kEiz9cZHuHnA-G6,https://www.youtube.com/live/0dH3JLIo66s?si=PTyhucdHUA9h4IZ_,https://www.youtube.com/live/_g_m8oYj-1U?si=2pUXx51sMgs7Vl7v,https://www.youtube.com/live/k2n6QLFslGk?si=F-Opgna8sDhR5382,https://www.youtube.com/live/sPqczpfurfQ?si=Jclq6hZhkQk1a5Et,https://www.youtube.com/live/T46rIU_O5jk?si=PX0OXEMDcL2HIfZb,https://www.youtube.com/live/FurZFE1eGZk?si=y6ghHQs3S4ZwqVXq,https://www.youtube.com/live/x7EWSnqQ9cY?si=Ki14n35Drme3yU1d,https://www.youtube.com/live/Wyys33Rlm_A?si=wvlw55ZfT2NxGRWB,https://www.youtube.com/live/WOp-YMYsrbY?si=cSODQ--VrhfGaKE9,https://www.youtube.com/live/zL10X7Gp33I?si=mNuzHiV97mCdbM0A,https://www.youtube.com/live/SB6MICoHzRg?si=9x42tNLeIVA6s7Ji,https://www.youtube.com/live/5mnCypgGAP4?si=iAys9C-67pWsKBKW,https://www.youtube.com/live/QWwSc2_hXyM?si=VoU_gBq3e4RiZlfV,https://www.youtube.com/live/9vip3U2aL7k?si=OjFGfb89uVnYZzf3,https://www.youtube.com/live/CdXVEY4RH78?si=n-DfaoMh7kdVyfNZ,https://www.youtube.com/live/WpCSxGTj1pY?si=u-ritRiY8aRYvOXe,https://www.youtube.com/live/I-D66fyzQLQ?si=u4G2-pg8WknESvXt,https://www.youtube.com/live/L_H2LJsLbRQ?si=bHPdfW-FlHZtGdNQ,https://www.youtube.com/live/Zbc9ZTF3YYs?si=agmY1WzuNzbPZyIS,https://www.youtube.com/live/Uuc-6gthyZc?si=HKgXXhgZXeTp5xbV,https://www.youtube.com/live/xkD81AWtjpk?si=T9AeC-5yM3Yc3r65,https://www.youtube.com/live/0Q3xl9wjayI?si=YoolixyPBsX1qY76,https://www.youtube.com/live/uX3ptcPyFYU?si=0jE16MwQsFkDWyPg,https://www.youtube.com/live/8xvFEbvx1xY?si=7wIxib4pLahOtMUL,https://www.youtube.com/live/MhVPEifa9zc?si=nWQnTsgvYrULk-Ks,https://www.youtube.com/live/4HI4bTviVT4?si=wXTBgdppmqBB03vX,https://www.youtube.com/live/ml1HtzgIgYs?si=YbBvA0Cx4004l3CA,https://www.youtube.com/live/g2xb5KeOPvY?si=BLl0-lmo1g_c35a7,https://www.youtube.com/live/10NlJ6kVnW8?si=fiJKkPlrA5lNkKWc,https://www.youtube.com/live/odVYJBGpoCY?si=myYYSgJQ7zERrwsq,https://www.youtube.com/live/vPG-DVbA9ac?si=r1zgtb3eULZrhyBx,https://www.youtube.com/live/hlxbK94hzjg?si=p9vhbtDr4iug2oYw,https://www.youtube.com/live/ElNFtCJ3Huo?si=KTzkKBqgm_0WyBEF,https://www.youtube.com/live/rAtvugHL4Zo?si=aoppVlod6uzrffrz,https://www.youtube.com/live/DNSgvshfyTY?si=878dEsiMHzCjVSmo,https://www.youtube.com/live/U1MBeoE06ug?si=epoBXJGKKQG0nmHl,https://www.youtube.com/live/SNhjyU-R1Bc?si=RtuAam4w-1LoQU1D,https://www.youtube.com/live/UA8QmPGOkBM?si=R3-TOyOvXXqmoA4B,https://www.youtube.com/live/eB7OJhy3zdI?si=sV-a6y2Oef2Mn9Kw,https://www.youtube.com/live/ZFmwLsSyiyo?si=lX2bvH_uFOLSl6M9,https://www.youtube.com/live/7ULGb2L-nJ8?si=iQkWqEwXgDSSwNzm,https://www.youtube.com/live/dnOhDWQfxdg?si=BYF9JRxB89gvi7AL,https://www.youtube.com/live/1hp448C481Q?si=9RzsAGAvB07sob9X,https://www.youtube.com/live/oUDLKoFJZ3A?si=ErD5oe3hmRGGRN1a,https://www.youtube.com/live/w4YcfsCUJMY?si=ZK3ez_46EQP8lifI,https://www.youtube.com/live/dGdpFGwWt3I?si=UyRgofYrhc_KX_dC,https://www.youtube.com/live/I21mf4gg7Uw?si=jyqX7FK1a5FfyZx9,https://www.youtube.com/live/BHcDXvSqdwk?si=Zuh7mmK9jFN1Y4t1,https://www.youtube.com/live/5jNrb-QktoY?si=mSCU8VCzn5S7y23w,https://www.youtube.com/live/s1-WQ4JD_ko?si=2Wm_aiidnINJFHYj,https://www.youtube.com/live/hLVIpgbi8ig?si=QZeU1IbtviXkhlhu,https://www.youtube.com/live/ACZmFLCrhwo?si=jljvtWWXn5yAnd50,https://www.youtube.com/live/8lSsT6dUu4I?si=nbPXdc-ESbEjq8OS,https://www.youtube.com/live/rVClzLKb844?si=Oeus5DB7wShgwqF-,https://www.youtube.com/live/1WXgGoYMIfw?si=nOKyoAGuR37z5tyt,https://www.youtube.com/live/D98yV3e2Hao?si=vXIRFbH8lnjs9nAi,https://www.youtube.com/live/dTPK_vf1u7Q?si=THQrvPuhSFgJz_AG,https://www.youtube.com/live/S8UhcgImB94?si=cqt3OPFCans5-ig_,https://www.youtube.com/live/WfaXCiAKnjU?si=DQoKJf5JdkPmpSu2,https://www.youtube.com/live/VOxCoxiAmZo?si=EKfoC30941amA3SP,https://www.youtube.com/live/Yxzl0FBAAzc?si=U7gKZdNpPckFjhXt,https://www.youtube.com/live/faB726JmBTc?si=VT8p0xoWOeUH1Frt,https://www.youtube.com/live/ML46rMZgpsk?si=Rf73Cy17wpLC9VPE,https://www.youtube.com/live/zNghIXHUTB8?si=EafsNatl1y7ujgtF,https://www.youtube.com/live/VJrEkNpuaIs?si=qVVrQ9fh-A2NJJ6-,https://www.youtube.com/live/6qVEfBspNfM?si=a7nx9yoL1SlCtbys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曲数,10,15,22,15,15,17,15,21,12,23,21,24,16,23,20,23,5,22,6,6,28,8,27,6,28,32,5,27,11,33,27,17,28,27,30,20,27,13,25,23,25,26,27,34,33,50,26,32,23,26,27,38,31,42,40,64,19,46,43,39,52,28,24,26,26,37,28,35,5,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,テトリス,KICK BACK,ちゅ、多様性。,めざせポケモンマスター,人マニア,踊,TAIDADA,ヒカリへ,転生林檎,うっせぇわ,ミックスナッツ,唱,鬼ノ宴,OK!,夜もすがら君想ふ,ギラギラ,めざせポケモンマスター,メリュー,ムーンライト伝説,金曜日のおはよう,テトリス,あわてんぼうのサンタクロース,雪だるまつくろう,夜もすがら君想ふ,イケナイ太陽,オーバーライド,群青,うっせぇわ,IRIS OUT,エイリアンエイリアン,ミックスナッツ,ハルジオン,アイドル,祝福,KICK BACK,夜もすがら君想ふ,金曜日のおはよう,新時代,阿修羅ちゃん,ロマンスの神様,チョコレイト・ディスコ,Remember,アイドル,めざせポケモンマスター,鬼ノ宴,夏色,エイリアンエイリアン,おどるポンポコリン,Happiness,Everyday、カチューシャ,ロキ,おどるポンポコリン (Ado Ver.),いーあるふぁんくらぶ,新時代,行くぜっ!怪盗少女,Snow halation,アタシは問題作,ハッピーシンセサイザ,サインはB,Over soul, 脱法ロック,超絶かわいい,Happiness,ハナミズキ,ウィーアー！,阿修羅ちゃん,ビビデバ,脱法ロック,会心の一撃,ライラック,One Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,神っぽいな,残響散歌,オトナブルー,Butter-Fly,チェリーポップ,阿修羅ちゃん,残機,大阪LOVER,テレパシ,ウタカタララバイ,Pretender,新時代,366日,1・2・3,神のまにまに,新時代,ひとりごつ,夜明けと蛍,恋愛サーキュレーション,ちゅ、多様性。,マーシャル・マキシマイザー,私は最強,Let It Go ～ありのままで～,夜もすがら君想ふ,フライングゲット,テトリス,何度でも,ウタカタララバイ,革命道中,人マニア,ライラック,サリシノハラ,青春コンプレックス,三原色,オーバーライド,ワールドイズマイン,かわいいだけじゃだめですか？,唱,エゴロック,White Love,フライングゲット,星降る海,Bling-Bang-Bang-Born,Butter-Fly,ROSE,少女レイ,テレパシ,おジャ魔女カーニバル!!,負けないで,ヘビーローテーション,ラヴィ,踊,メランコリック,阿修羅ちゃん,ヘビーローテーション,とくべチュ、して,神っぽいな,恋するフォーチュンクッキー,Bのリベンジ,ムーンライト伝説,ジャンキーナイトタウンオーケストラ,ヒロイン育成計画,Love so sweet,プラネタリウム,Over soul,KICK BACK,ピースサイン,オーバーライド,ルル,キューティーハニー,truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,モニタリング,紅蓮華,強風オールバック,ムーンライト伝説,妄想感傷代償連盟,トウキョウ・シャンディ・ランデヴ,勘冴えて悔しいわ,サウダージ,UNDEAD,IRIS OUT,白日,すき、きらい,夜明けと蛍,Butter-Fly,サリシノハラ,クラクラ,ムーンライト伝説,曖昧劣情Lover,右肩の蝶,ワールドイズマイン,テレパシ,ロキ,Plazma,Best Friend,ポニーテールとシュシュ,テレパシ,愛唄,ドーナツホール,イケナイ太陽,ジャンキーナイトタウンオーケストラ,アイドル,車輪の唄,おねがいダーリン,寝起きヤシの木,テトリス,ライラック,Bling-Bang-Bang-Born,勘冴えて悔しいわ,チェリーポップ,WHITE BREATH,恋するフォーチュンクッキー,ワールドイズマイン CPK! Remix,ライラック,シカ色デイズ,ハレンチ,ただ君に晴れ,ヴァンパイア,ムーンライト伝説,ライラック,かわいいだけじゃだめですか？,エゴロック,気まぐれロマンティック,恋愛裁判,マーシャル・マキシマイザー,ポニーテールとシュシュ,ダーリンダンス,T氏の話を信じるな,愛包ダンスホール,ミックスナッツ,微笑みの爆弾,おしゃかしゃま,スイートマジック,空も飛べるはず,相思相愛,OK!,レディメイド,アポロ,ライアーダンサー,独りんぼエンヴィー,ハッピーシンセサイザ,好きすぎて滅!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,グッバイ宣言,ライラック,可愛くてごめん,微笑みの爆弾,㋰責任集合体,アイワナムチュー,秒針を噛む,愛唄,人間E判定,革命道中,車輪の唄,あのバンド,回る空うさぎ,ミックスナッツ,弱虫モンブラン,青のすみか,TAIDADA,サイノウサンプラー,ダーリンダンス,可愛くてごめん,ヴァンパイア,Love so sweet,祝福,スノースマイル,夏祭り,トウキョウ・シャンディ・ランデヴ,月と花束,さよならエレジー,Bling-Bang-Bang-Born,右肩の蝶,Bling-Bang-Bang-Born,ベテルギウス,阿修羅ちゃん,強風オールバック,ドーナツホール,パンダヒーロー,KICK BACK,言って。,ワールドイズマイン,"Winter,again",シル・ヴ・プレジデント,ハッピーシンセサイザ,うっせぇわ,POP IN 2,TEST ME,言って。,ワールドイズマイン,ウィーアー！,新時代,ヒロイン育成計画,エイリアンエイリアン,夜もすがら君想ふ,トリノコシティ,花の塔,世界に一つだけの花,メンタルチェンソー,HOT LIMIT,絶頂讃歌,クラクラ,アンバランスなkissをして,ダーリンダンス,お返事まだカナ💦❓おじさん構文😁❗️,ライラック,ハルジオン,Catch You Catch Me,好きすぎて滅!,チャンカパーナ,㋰責任集合体,ゴーストルール,ポニーテールとシュシュ,夜の踊り子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ダーリンダンス,私は最強,ラヴィ,アンバランスなkissをして,ベノム,お返事まだカナ💦❓おじさん構文😁❗️,お勉強しといてよ,CHE.R.RY,超主人公,TAIDADA,アルエ,忘れてやらない,3月9日,クラクラ,ウミユリ海底譚,ずうっといっしょ！,花の塔,独りんぼエンヴィー,ファンサ,わたしの一番かわいいところ,シンデレラ,KING,INVOKE-インヴォーク-,ダーリンダンス,ミュージック・アワー,ビビデバ,誇り高きアイドル,sailing day,フライングゲット,ウミユリ海底譚,ヒロイン育成計画,フラレガイガール,粛聖!! ロリ神レクイエム☆,お返事まだカナ💦❓おじさん構文😁❗️,愛包ダンスホール,弱虫モンブラン,アイのシナリオ,神っぽいな,会心の一撃,スノースマイル,スイートマジック,トリノコシティ,わたしの一番かわいいところ,1・2・3,ファタール,ビビっとラブ,ダイダイダイダイダイキライ,オトノケ,ただ君に晴れ,おジャ魔女カーニバル!!,十面相,脱法ロック,モザイクロール,ラヴィ,チャンカパーナ,エゴロック,ビビデバ,オーバーライド,怪物,輝きは君の中に,チェリーポップ,サインはB,ドーナツホール,ダーリン,おジャ魔女カーニバル!!,革命道中,Rolling star,魔法少女とチョコレゐト,GLAMOROUS SKY,花になって,キュートなカノジョ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ヴァンパイア,革命道中,ドーナツホール,魂のルフラン,転生林檎,ギターと孤独と蒼い惑星,ヒューマノイド,気まぐれロマンティック,雑魚,前前前世,あいつら全員同窓会,アノニマス,晩餐歌,逆光,ロミオとシンデレラ,白日,,天ノ弱,花の塔,いーあるふぁんくらぶ,イガク,ライラック,only my railgun,花の塔,Bling-Bang-Bang-Born,私は最強,,ラフ・メイカー,ヘビーローテーション,ラブカ?,はいよろこんで,炎,サインはB,トウキョウ・シャンディ・ランデヴ,美少女無罪♡パイレーツ,レディメイド,ヒロイン育成計画,転生林檎,キセキ,雪だるまつくろう,世界は恋に落ちている,竹取オーバーナイトセンセーション,好きすぎて滅!,KICK BACK,プロポーズ,世界は恋に落ちている,デビルじゃないもん,TAIDADA,ダーリン,チョコレイト・ディスコ,モザイクロール,モニタリング,ストリーミングハート,ダーリンダンス,かわいいだけじゃだめですか？,プロポーズ,トウキョウ・シャンディ・ランデヴ,アイワナムチュー,うい麦畑でつかまえて,少女S,行くぜっ!怪盗少女,Bのリベンジ,恋愛サーキュレーション,君はロックを聴かない,DAN DAN 心魅かれてく,乙女解剖,残響散歌,すろぉもぉしょん,,サインはB,酔いどれ知らず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
